,id,text
71688,bff52a9d512e0fb1,"Has it occurred to you that I wouldn't tell someone to fuck off if they hadn't first referred to my edits as bullshit? And if NPA is not exhaustive, what criteria exactly are you using to decide that telling someone to fuck off counts as an attack?79.97.92.28"
1604,044cc0666946070e,. When the funeral comes I will be the only one their and I will only be their to piss on your grave.
91345,f441e273f18538f4,"derhexer 

fuck you cunt. you fucking cunt."
53966,903213d2d73965fd,"""As the aim of this project is apparently to give license to administrators to circumvent process, common sense, and neutrality on every level now, go ahead and block me. Your corrupt natures will eventually lead to the ruin of this project, and it's only a matter of time until the MONGOs (Hi Omaha, USDHS, Gay Republicans), Fred Bauders (did you know he's not a retired attorney, but disbarred in Colorado for solicitation of a prostitute?), Cydes (Hi Ben), and Kelly Martins (Hi Mr. Scott) of the world completely ruin the project? Can't wait for that media spotlight to come shining in! Oh yes. Oh yes. Leaks are coming that Jimbo couldn't fill in with all the little Dutch Boys in Europe.  (T)  

"""
118793,7adbab3eb0f95913,"""
Alright, but just an update: I've just come across several Broadcast & Cable articles from '99 that have ratings info on almost all five of the series' original UPN episodes! (turns out they were way lower then I thought, lol) So, there's no rush for that info, I'm settled for now. Still, though, I'm a total n00b when it comes to ratings; I'm revising the pilot, so can you tell me if you know what a 1.4/2 Nielsen Rating translates to in numbers? Cheers, '''''' I am Jack's  lack of surprise """
107492,3ea953223c012e53,"""

 31 hours appears rather mild 

Fucking replied. May I direct your attention to the fact that alcohol wears off faster than that. However, it's a good excuse not to show up any earlier. And maybe to think whether I shoudn't always be drinking when I post. Navou definitely is a bad-faithed troll. It's Majorly we're talking about, right? He doesn't """"feel comfortable"""" with Majorly wielding the admin tools, right? Well, the alc made me speak my mind. Maybe that's not such a bad thing. Just avoid thinking about it when you're sober. So 31 hours appears just right. Not appealing the block in any way. I'm guilty as hell.  """
57767,9a9367a82b2e4daa,"terrorist 

YOU FAILED AGAIN TO BLOCK ME WIKIPEDIANS!!

HA HA!!

For some nice big juicy sweet cock,
my number is 248-678-9807

Goodbye lovers.68.79.118.61"
40682,6c9279717c622ec3,"Gorlitz!  -  Stop screwing with me on the Amy G. you frigging Nazi or I'll report you to the Wiki Board.  Goto Hell you hypocrital
POS!"
113870,61079c9cb9efca53,"""

 Re:Newsletter 

Hi Nichalp, done — (talk) """
31992,54fe911f7fa1d7cb,I'm not new here. I don't know what the hell you are talking about. Don't talk to me again.
149748,60c9651477bc2421,"It looks good to me, but can you make the size smaller so that it is similar to other sizes of other userboxes. Other than that, it looks fine. Please tell me the final name of the userbox so I can put it on my page. Thanks again."
117245,72813b4e0a97b0aa,"I think that you should know that Jehochman's position is not the official one, there is no such a policy.90.179.235.249"
34741,5ccbb6988a51008c,"""
Sorry if you think they are """"inappropriate"""", but these are your actions....so I guess your actions are in effect inappropriate. -  (VT) 

Meatpuppet
You are a meat puppet, you have been confirmed a meatpuppet, the tag stands. -  (VT) """
