,text,label
0,"""

 Common sense 

Well, the Wikipedia is by far something different from what the original intent is and with all this happy """"everyone can edit"""" things are getting out of hand with marketers.

In this particular case, it is one thing to have an illustration of a product (say a bowl of ketchup or some fries adorned with this sauce) and a totally different thing to publish the label of a producer as a """"good example"""".

Fellow wikipedians - guard this article and the others like it if you still wish to have an encyclopedia and not just some other Yellow Pages advert book! 93.126.136.39  """,0
1,"I like you 

I kill you last.",1
2,"""

I say go for it!, It's been unsourced for long enough. →Talk to me!→ """,0
3,"""
Sry for my absence everyone - I'll include the proposed image. If the Chetniks marching image is pd I'll update the collage.  (TALK) """,0
4,lol! what a show of force. its YOU who is trying to WP:OWN wikipedia. supporting blatant lies and hypocrisy. dont you have any courage to face my proven and true edits than to block me?you cowards have not even proven 1 of my edits wrong as you all are supporters of lies and fake articles.108.78.177.132,1
5,"SL93, I'm ready for an argument right fucking now. I'm sick and fucking tired of your goofball power play. Get a fucking life. You're a joke, a clown and no one will ever take your sorry ass seriously. Get fucked and leave me the fuck alone. I didn't start shit with you, so I don't get what your problem is. Twat.",1
6,Wimpy whiny wimpy whiny,1
7,Take yourwarning and shake salt on it and shove it up your poop pipe...,1
8,Blah Blah Blah. Cry me a river. Go suck a prick.,1
9,"""
What? WTF does it matter if he """"knew"""" about the explosives or not? He set up the operation and the same people he was working with gave access to the explosives. And in any case, I question if it is worth believing a single word that comes from Mubin's mouth. The man is a scumbag that picks on 12 year old kids and sniffs coke, and 4 million buys a lot of lies.   """,0
10,"you have serious problems paladin, you project all your own insecurities and circular logic onto others, when you should be directing it to yourself, you are constantly hypocritical and have some kind of mental problem that stops you from basic common sense. please kill yourself",1
11,"""

 Non-enyclopedic? 

""""On February 24, 1943, Iowa put to sea for shakedown in the Chesapeake Bay and along the Atlantic coast. She got underway on August 27 for Argentia, Newfoundland to neutralise the threat of German battleship Tirpitz which was reportedly operating in Norwegian waters.""""

The terms/word """"put to sea"""", """"shakedown"""", """"underway"""", as well as calling it """"she"""" seems non-encyclopedic to me, and is more colloquial than should be. Something should be donw about this. Also, I'm changing """"neutralise"""" to the correct spelling of """"neutralize"""", with a """"z"""". """,0
12,cos he smells like ass 2,1
13,"CSS Naked Day 

YOU ARE A FUCKING DUCHEBAG!! IM NOT TRYING TO COPYRIGHT INFRINGE ON ANYONE, JUST SPREADING THE WORD. OMG! YOU ARE SO FUCKING STUPID AND SHOULD BE SHOT",1
14,REDIRECT Talk:Red foxes in Australia,0
15,"""

The license terms have not been observed. Wikipedia is a bait-and-switch operation that LIES to authors. It cannot enforce a license obtained under false pretenses. The page will come down, and you will still be around here when it does. You will not have the use of material that you and your shit-for-brains fellow cultists labelled """"original research."""" I now concede  it was all ORIGINAL RESEARCH and as such it has no palce in WP. Take it down, you parasitic ass-wipe.  """,1
16,"I wasn't talking to you jerkso, your sucj an idiot you cant even realize when someone is talking to you. No go back to your trailer boy!",1
17,"you are a prat, and my revenge will be sweet! hahahahahaahahahahahahahahahahahahahahaha.",1
18,"""

No, Caspian, it is you and your mode of operation that is transparent.

That is the big problem with dealing with Caspian ... if anyone documents what THEY (Caspian blue) do, e.g. create noise as a distraction, they will turn around and use it in their next layer of attack attempting to draw attention away from them.

The prejudicial error in using Google as an arbitrator in a situation like this is that any search for 'Yonsei' will also bring results for 'Yonsei University' etc as a partial search results. 

Using it properly, e.g. search for Yonsei minus the word university  provides a far more accurate result for its usage. 

Yonsei means yonsei, Yonsei University is Yonsei University. Neither the hospital nor journals were ever called """"Yonsei"""". The whole debate has been bogus and poisoned. 118.16.165.249  """,1
19,(couch couch)**  BULL(couch)IT!,0
20,"""::Agreed, SPUI.  I also feel that much of the list should be removed as it is unnecessarily long and... who really reads it? tomf688 01:12, Apr 15, 2005 (UTC)

""",0
21,Here goes...   I'm not the greatest hook writer; someone else might have a sexier way to put it.,0
22,Plus . Does an empty line mean you can just start quoting from a different text altogether?,0
23,"Harun Yahya/Adnan Oktar 

This is quoted from the wikipedia article on Harun Yahya:

Even though he often writes about science, he has never actually studied any science at a university level.  (, , )

There are also many disturbing data in that article: he claims to be a moral authority and an expert on Muslim ethics but has anal and oral sex with children, claiming that it is halal. If we are to keep his work in this article he needs to be demonstrated as having some standing as a Quranic scholar. Is he so received in the Muslim world? Is there any evidence for this?",0
24,"yo 

what is your problem, motherfucker?",1
25,"You losers don't know ANYTHING about Frank Zappa 

Look Frank Zappa was the most alternative rock in the world.

+ HE did not want to be remembered

+He HATES the music industry

+I mean there are just SOOOOOOOOO many things you guys are leaving out of his article it's embarrsing.",1
26,", as they look too unprofessional",0
27,"Austrian Flags at Zundel Rallies

http://zundelsite.org/zundel_persecuted/free_zundel_rally_nov23.html

Austria: Index of All Pages
Österreich

http://flagspot.net/flags/at-index.html#land

Austrian (Austro-Hungarian), and German Flags are the most varied in the World.  If you KNEW ANYTHING ABOUT FLAGS (which you obviously do not) you would know that some block-head waving a Flag does NOT make it theirs.",0
28,Have fun in Hell little Fascists69.14.97.53,1
29,"Msg for Vandalisim? 

Why am I getting this message on my wall? Fuck off.",1
30,"shannon

just merge the kunt and write more shit for us u faggots",1
31,Go fuck yourself you fucking dick go rot in hell piece of crap your mother is a whore,1
32,"""
1 or 2 - Option 4 is too long/tedious. Option 2 might be too broad to be honest, but it seems good enough.  (talk) Please {{re}} """,0
33,"Colt Cabana 

lol, you're joking? He actually has a move called butt-butt?? Can't be right, surely?!?!",0
34,"""
It is the nature of science that scientists make mistakes. They are meant to make mistakes. It is therefore absurd and not to mention childish and petty to have an entire section devoted to showing that (guess what?) McKitrick once made a mistake. If the mistake had affected history, if it had led to some huge controversy, that would be entirely different. McKitrick himself seems to have acknowledged the mistake quickly and professionally. Should we include a """"list of mistakes"""" section against all living scientists? Be serious...   """,0
35,"Please look at this guy's talk history. He started it. Yes thats childish but I blame him. I was a good wikipedian before I met him. he sucks. He adds nothing, just vandalises stuff, and was rude to me -check my page history. He should clearly be kicked off wikipedia. P.S., I know igonorance is not a crime, but we have to draw the line somewhere.",1
36,"(UTC)

Regarding the first: Nothing, the weblink was likely included by the same person who wrote the website und who is spamming Wikipedia with articles about his non-notable Codewit Global network student organization and his own website.   15:36, 12 February 2010",0
37,"Science magazine had a special issue on the war on cancer, and they had tables doing exactly what you say. They gave incidence, deaths, and mortality trends for 7 major cancers. Science 331:1541 (25 March 2011)",0
38,"""

 Re: your comment on Jim Douglas' talk page 

You wrote: """"If you can, permantly block this I.P address: 203.166.99.246 it is a shared address in an Australian TAFE library. If it is not permantly blocked, it will be continued to be abused! Even when the block does expire some other punks will jump a computer here and destroy more stuff, the day it comes back to being able to edit. THis happened monday passed when the most recent block expire after the holidays. Only MONDAY Morning!!! First chance anyone gets thety will destroy files. This Ip address must be permanently blocked. Thankyou...""""
Thanks for bringing this to my attention.  Jim's not an admin, so he asked me to investigate this.  The thing is, it's against Wikipedia policy to block a user or an IP address based on the idea that they might vandalize again.  This IP address is associated with a school, which explains why there's a high incidence of vandalism coming from it.  However, there may be contributors there who make constructive edits, and we don't want to discourage or preclude them from contributing.  What we can do is to make sure that our vandalism fighting efforts are strong and enact a number of short-term blocks if the problem worsens.  Vandals can't """"destroy files""""; all they can do is make a temporary mess that is fairly simple to fix.  If you're interested in fighting vandalism, you can read about it here and learn about reverting vandalism here.  Happy editing!    """,0
